Type,name,Score,Metric
Top,Idrissa Gana Gueye,6.0,SCA_Def
Top,Bruno Guimarães,6.0,SCA_Def
,,,
Bottom,,,SCA_Def
Bottom,Max Aarons,0.0,SCA_Def
Bottom,Tyler Adams,0.0,SCA_Def
Bottom,Tosin Adarabioyo,0.0,SCA_Def
,,,
Top,,,GCA
Top,Anthony Gordon,29.0,GCA
Top,Cole Palmer,26.0,GCA
Top,Ollie Watkins,26.0,GCA
,,,
Bottom,,,GCA
Bottom,Tyler Adams,0.0,GCA
Bottom,Tosin Adarabioyo,0.0,GCA
Bottom,Nayef Aguerd,0.0,GCA
,,,
Top,,,GCA90
Top,Oscar Bobb,1.79,GCA90
Top,Ivan Perišić,1.75,GCA90
Top,Carney Chukwuemeka,1.59,GCA90
,,,
Bottom,,,GCA90
Bottom,Tyler Adams,0.0,GCA90
Bottom,Tosin Adarabioyo,0.0,GCA90
Bottom,Nayef Aguerd,0.0,GCA90
,,,
Top,,,GCA_PassLive
Top,Cole Palmer,20.0,GCA_PassLive
Top,Martin Ødegaard,18.0,GCA_PassLive
Top,Rodri,17.0,GCA_PassLive
,,,
Bottom,,,GCA_PassLive
Bottom,Tyler Adams,0.0,GCA_PassLive
Bottom,Tosin Adarabioyo,0.0,GCA_PassLive
Bottom,Nayef Aguerd,0.0,GCA_PassLive
,,,
Top,,,GCA_PassDead
Top,James Ward-Prowse,7.0,GCA_PassDead
Top,Alfie Doughty,5.0,GCA_PassDead
Top,Conor Gallagher,5.0,GCA_PassDead
,,,
Bottom,,,GCA_PassDead
Bottom,Max Aarons,0.0,GCA_PassDead
Bottom,Tyler Adams,0.0,GCA_PassDead
Bottom,Tosin Adarabioyo,0.0,GCA_PassDead
,,,
Top,,,GCA_TO
Top,Anthony Gordon,5.0,GCA_TO
Top,Pascal Groß,4.0,GCA_TO
Top,Bruno Guimarães,4.0,GCA_TO
,,,
Bottom,,,GCA_TO
Bottom,Max Aarons,0.0,GCA_TO
Bottom,Tyler Adams,0.0,GCA_TO
Bottom,Tosin Adarabioyo,0.0,GCA_TO
,,,
Top,,,GCA_Sh
Top,Ollie Watkins,7.0,GCA_Sh
Top,Anthony Gordon,4.0,GCA_Sh
Top,Elijah Adebayo,3.0,GCA_Sh
,,,
Bottom,,,GCA_Sh
Bottom,Max Aarons,0.0,GCA_Sh
Bottom,Tyler Adams,0.0,GCA_Sh
Bottom,Tosin Adarabioyo,0.0,GCA_Sh
,,,
Top,,,GCA_Fld
Top,Anthony Gordon,5.0,GCA_Fld
Top,Chiedozie Ogbene,4.0,GCA_Fld
Top,Rayan Aït-Nouri,3.0,GCA_Fld
,,,
Bottom,,,GCA_Fld
Bottom,Max Aarons,0.0,GCA_Fld
Bottom,Tyler Adams,0.0,GCA_Fld
Bottom,Tosin Adarabioyo,0.0,GCA_Fld
,,,
Top,,,GCA_Def
Top,Antony,2.0,GCA_Def
Top,James Garner,2.0,GCA_Def
Top,Cole Palmer,2.0,GCA_Def
,,,
Bottom,,,GCA_Def
Bottom,Max Aarons,0.0,GCA_Def
Bottom,Tyler Adams,0.0,GCA_Def
Bottom,Tosin Adarabioyo,0.0,GCA_Def
,,,
Top,,,Tkl
Top,João Palhinha,152.0,Tkl
Top,João Gomes,128.0,Tkl
Top,Vinicius Souza,125.0,Tkl
,,,
Bottom,,,Tkl
Bottom,Alisson,0.0,Tkl
Bottom,Daniel Bentley,0.0,Tkl
Bottom,Martin Dúbravka,0.0,Tkl
,,,
Top,,,TklW
Top,Vinicius Souza,76.0,TklW
Top,João Palhinha,75.0,TklW
Top,João Gomes,74.0,TklW
,,,
Bottom,,,TklW
Bottom,Alisson,0.0,TklW
Bottom,Daniel Bentley,0.0,TklW
Bottom,Armando Broja,0.0,TklW
,,,
Top,,,Def_3rd
Top,João Palhinha,80.0,Def_3rd
Top,Tyrick Mitchell,75.0,Def_3rd
Top,João Gomes,67.0,Def_3rd
,,,
Bottom,,,Def_3rd
Bottom,Alisson,0.0,Def_3rd
Bottom,Daniel Bentley,0.0,Def_3rd
Bottom,Armando Broja,0.0,Def_3rd
,,,
Top,,,Mid_3rd
Top,João Palhinha,60.0,Mid_3rd
Top,Vinicius Souza,51.0,Mid_3rd
Top,Alexis Mac Allister,50.0,Mid_3rd
,,,
Bottom,,,Mid_3rd
Bottom,Elijah Adebayo,0.0,Mid_3rd
Bottom,Alisson,0.0,Mid_3rd
Bottom,Jaidon Anthony,0.0,Mid_3rd
,,,
Top,,,Att_3rd
Top,Dejan Kulusevski,23.0,Att_3rd
Top,Bukayo Saka,20.0,Att_3rd
Top,Ryan Christie,17.0,Att_3rd
,,,
Bottom,,,Att_3rd
Bottom,Tyler Adams,0.0,Att_3rd
Bottom,Tosin Adarabioyo,0.0,Att_3rd
Bottom,Nayef Aguerd,0.0,Att_3rd
,,,
Top,,,Challenges_Tkl
Top,João Palhinha,103.0,Challenges_Tkl
Top,Pedro Porro,62.0,Challenges_Tkl
Top,Alexis Mac Allister,59.0,Challenges_Tkl
,,,
Bottom,,,Challenges_Tkl
Bottom,Alisson,0.0,Challenges_Tkl
Bottom,Daniel Bentley,0.0,Challenges_Tkl
Bottom,Rhian Brewster,0.0,Challenges_Tkl
,,,
Top,,,Challenges_Att
Top,João Palhinha,152.0,Challenges_Att
Top,Alexis Mac Allister,125.0,Challenges_Att
Top,Pedro Porro,120.0,Challenges_Att
,,,
Bottom,,,Challenges_Att
Bottom,Caoimhín Kelleher,0.0,Challenges_Att
Bottom,Bernd Leno,0.0,Challenges_Att
Bottom,Benson Manuel,0.0,Challenges_Att
,,,
Top,,,Challenges_Lost
Top,Mathias Jensen,69.0,Challenges_Lost
Top,Alexis Mac Allister,66.0,Challenges_Lost
Top,Trent Alexander-Arnold,60.0,Challenges_Lost
,,,
Bottom,,,Challenges_Lost
Bottom,Mads Juel Andersen,0.0,Challenges_Lost
Bottom,Eric Dier,0.0,Challenges_Lost
Bottom,Radu Drăgușin,0.0,Challenges_Lost
,,,
Top,,,Blocks
Top,James Tarkowski,82.0,Blocks
Top,Casemiro,74.0,Blocks
Top,Alexis Mac Allister,65.0,Blocks
,,,
Bottom,,,Blocks
Bottom,Alisson,0.0,Blocks
Bottom,Alphonse Areola,0.0,Blocks
Bottom,Daniel Bentley,0.0,Blocks
,,,
Top,,,Blocks_Sh
Top,James Tarkowski,56.0,Blocks_Sh
Top,Craig Dawson,39.0,Blocks_Sh
Top,Fabian Schär,38.0,Blocks_Sh
,,,
Bottom,,,Blocks_Sh
Bottom,Tyler Adams,0.0,Blocks_Sh
Bottom,Naouirou Ahamada,0.0,Blocks_Sh
Bottom,Alisson,0.0,Blocks_Sh
,,,
Top,,,Blocks_Pass
Top,Alexis Mac Allister,57.0,Blocks_Pass
Top,Tyrick Mitchell,53.0,Blocks_Pass
Top,João Palhinha,48.0,Blocks_Pass
,,,
Bottom,,,Blocks_Pass
Bottom,Alisson,0.0,Blocks_Pass
Bottom,Alphonse Areola,0.0,Blocks_Pass
Bottom,Daniel Bentley,0.0,Blocks_Pass
,,,
Top,,,Blocks_Int
Top,Antonee Robinson,80.0,Blocks_Int
Top,Lewis Cook,65.0,Blocks_Int
Top,Teden Mengi,57.0,Blocks_Int
,,,
Bottom,,,Blocks_Int
Bottom,Alisson,0.0,Blocks_Int
Bottom,Daniel Bentley,0.0,Blocks_Int
Bottom,Luke Berry,0.0,Blocks_Int
,,,
Top,,,Blocks_Tkl+Int
Top,João Palhinha,198.0,Blocks_Tkl+Int
Top,Antonee Robinson,173.0,Blocks_Tkl+Int
Top,Vinicius Souza,157.0,Blocks_Tkl+Int
,,,
Bottom,,,Blocks_Tkl+Int
Bottom,Alisson,0.0,Blocks_Tkl+Int
Bottom,Daniel Bentley,0.0,Blocks_Tkl+Int
Bottom,Martin Dúbravka,0.0,Blocks_Tkl+Int
,,,
Top,,,Blocks_Clr
Top,Joachim Andersen,207.0,Blocks_Clr
Top,James Tarkowski,191.0,Blocks_Clr
Top,Murillo,188.0,Blocks_Clr
,,,
Bottom,,,Blocks_Clr
Bottom,Tawanda Chirewa,0.0,Blocks_Clr
Bottom,Arnaut Danjuma,0.0,Blocks_Clr
Bottom,Lewis Dobbin,0.0,Blocks_Clr
,,,
Top,,,Blocks_Err
Top,Wes Foderingham,6.0,Blocks_Err
Top,Trent Alexander-Arnold,5.0,Blocks_Err
Top,David Raya,5.0,Blocks_Err
,,,
Bottom,,,Blocks_Err
Bottom,Max Aarons,0.0,Blocks_Err
Bottom,Tyler Adams,0.0,Blocks_Err
Bottom,Tosin Adarabioyo,0.0,Blocks_Err
,,,
Top,,,Touches
Top,Rodri,3988.0,Touches
Top,Pascal Groß,3534.0,Touches
Top,Lewis Dunk,3481.0,Touches
,,,
Bottom,,,Touches
Bottom,Leon Chiwome,39.0,Touches
Bottom,Neal Maupay,40.0,Touches
Bottom,John Fleck,49.0,Touches
,,,
Top,,,Def_Pen
Top,Bernd Leno,1275.0,Def_Pen
Top,Mark Flekken,1268.0,Def_Pen
Top,Guglielmo Vicario,1252.0,Def_Pen
,,,
Bottom,,,Def_Pen
Bottom,Lewis Dobbin,0.0,Def_Pen
Bottom,Alex Iwobi,0.0,Def_Pen
Bottom,Benson Manuel,0.0,Def_Pen
,,,
Top,,,Def_3rd.1
Top,Lewis Dunk,1811.0,Def_3rd.1
Top,Guglielmo Vicario,1664.0,Def_3rd.1
Top,Bernd Leno,1645.0,Def_3rd.1
,,,
Bottom,,,Def_3rd.1
Bottom,Neal Maupay,1.0,Def_3rd.1
Bottom,Kieffer Moore,2.0,Def_3rd.1
Bottom,Leon Chiwome,5.0,Def_3rd.1
,,,
Top,,,Mid_3rd.1
Top,Rodri,2337.0,Mid_3rd.1
Top,Virgil van Dijk,1757.0,Mid_3rd.1
Top,William Saliba,1720.0,Mid_3rd.1
,,,
Bottom,,,Mid_3rd.1
Bottom,Dean Henderson,0.0,Mid_3rd.1
Bottom,Ionuț Radu,0.0,Mid_3rd.1
Bottom,Mark Travers,0.0,Mid_3rd.1
,,,
Top,,,Att_3rd.1
Top,Bukayo Saka,1310.0,Att_3rd.1
Top,Phil Foden,1211.0,Att_3rd.1
Top,Martin Ødegaard,1173.0,Att_3rd.1
,,,
Bottom,,,Att_3rd.1
Bottom,Alisson,0.0,Att_3rd.1
Bottom,Alphonse Areola,0.0,Att_3rd.1
Bottom,Daniel Bentley,0.0,Att_3rd.1
,,,
Top,,,Att_Pen
Top,Bukayo Saka,271.0,Att_Pen
Top,Alejandro Garnacho,248.0,Att_Pen
Top,Mohamed Salah,241.0,Att_Pen
,,,
Bottom,,,Att_Pen
Bottom,Alisson,0.0,Att_Pen
Bottom,Alphonse Areola,0.0,Att_Pen
Bottom,Daniel Bentley,0.0,Att_Pen
,,,
Top,,,Live_Touches
Top,Rodri,3988.0,Live_Touches
Top,Pascal Groß,3533.0,Live_Touches
Top,Lewis Dunk,3481.0,Live_Touches
,,,
Bottom,,,Live_Touches
Bottom,Leon Chiwome,39.0,Live_Touches
Bottom,Neal Maupay,40.0,Live_Touches
Bottom,John Fleck,49.0,Live_Touches
,,,
Top,,,Take_Att
Top,Mohammed Kudus,221.0,Take_Att
Top,Jeremy Doku,169.0,Take_Att
Top,Matheus Cunha,140.0,Take_Att
,,,
Bottom,,,Take_Att
Bottom,Alisson,0.0,Take_Att
Bottom,Daniel Bentley,0.0,Take_Att
Bottom,Leon Chiwome,0.0,Take_Att
,,,
Top,,,Take_Succ
Top,Mohammed Kudus,124.0,Take_Succ
Top,Jeremy Doku,87.0,Take_Succ
Top,Bruno Guimarães,72.0,Take_Succ
,,,
Bottom,,,Take_Succ
Bottom,Alisson,0.0,Take_Succ
Bottom,Mads Juel Andersen,0.0,Take_Succ
Bottom,Benoît Badiashile,0.0,Take_Succ
,,,
Top,,,Take_Tkld
Top,Mohammed Kudus,77.0,Take_Tkld
Top,Raheem Sterling,70.0,Take_Tkld
Top,Dejan Kulusevski,66.0,Take_Tkld
,,,
Bottom,,,Take_Tkld
Bottom,Tyler Adams,0.0,Take_Tkld
Bottom,Tosin Adarabioyo,0.0,Take_Tkld
Bottom,Alisson,0.0,Take_Tkld
,,,
Top,,,Carries
Top,Rodri,2513.0,Carries
Top,Lewis Dunk,2417.0,Carries
Top,Pascal Groß,2284.0,Carries
,,,
Bottom,,,Carries
Bottom,Leon Chiwome,16.0,Carries
Bottom,John Fleck,19.0,Carries
Bottom,Neal Maupay,20.0,Carries
,,,
Top,,,Carries_TotDist
Top,Rodri,11575.0,Carries_TotDist
Top,Rúben Dias,10862.0,Carries_TotDist
Top,Lewis Dunk,10752.0,Carries_TotDist
,,,
Bottom,,,Carries_TotDist
Bottom,John Fleck,81.0,Carries_TotDist
Bottom,Leon Chiwome,86.0,Carries_TotDist
Bottom,Nathan Fraser,88.0,Carries_TotDist
,,,
Top,,,Carries_ProDist
Top,Rúben Dias,6693.0,Carries_ProDist
Top,Rodri,6408.0,Carries_ProDist
Top,Jan Paul van Hecke,6274.0,Carries_ProDist
,,,
Bottom,,,Carries_ProDist
Bottom,Nathan Fraser,22.0,Carries_ProDist
Bottom,Leander Dendoncker,27.0,Carries_ProDist
Bottom,Luke Berry,30.0,Carries_ProDist
,,,
Top,,,Carries_ProgC
Top,Jeremy Doku,218.0,Carries_ProgC
Top,Alejandro Garnacho,178.0,Carries_ProgC
Top,Bukayo Saka,155.0,Carries_ProgC
,,,
Bottom,,,Carries_ProgC
Bottom,Alisson,0.0,Carries_ProgC
Bottom,Mads Juel Andersen,0.0,Carries_ProgC
Bottom,Alphonse Areola,0.0,Carries_ProgC
,,,
Top,,,Carries_1/3
Top,Rodri,88.0,Carries_1/3
Top,Alejandro Garnacho,83.0,Carries_1/3
Top,Martin Ødegaard,83.0,Carries_1/3
,,,
Bottom,,,Carries_1/3
Bottom,Alisson,0.0,Carries_1/3
Bottom,Mads Juel Andersen,0.0,Carries_1/3
Bottom,Daniel Bentley,0.0,Carries_1/3
,,,
Top,,,Carries_CPA
Top,Jeremy Doku,147.0,Carries_CPA
Top,Alejandro Garnacho,102.0,Carries_CPA
Top,Dejan Kulusevski,82.0,Carries_CPA
,,,
Bottom,,,Carries_CPA
Bottom,Nayef Aguerd,0.0,Carries_CPA
Bottom,Ameen Al-Dakhil,0.0,Carries_CPA
Bottom,Alisson,0.0,Carries_CPA
,,,
Top,,,Carries_Mis
Top,Dominic Solanke,136.0,Carries_Mis
Top,Jean-Philippe Mateta,89.0,Carries_Mis
Top,Nicolas Jackson,87.0,Carries_Mis
,,,
Bottom,,,Carries_Mis
Bottom,Alphonse Areola,0.0,Carries_Mis
Bottom,Daniel Bentley,0.0,Carries_Mis
Bottom,Calum Chambers,0.0,Carries_Mis
,,,
Top,,,Carries_Dis
Top,Mohammed Kudus,93.0,Carries_Dis
Top,Lucas Paquetá,81.0,Carries_Dis
Top,Dominic Solanke,81.0,Carries_Dis
,,,
Bottom,,,Carries_Dis
Bottom,Tyler Adams,0.0,Carries_Dis
Bottom,Alisson,0.0,Carries_Dis
Bottom,Mads Juel Andersen,0.0,Carries_Dis
,,,
Top,,,Receiving_Rec
Top,Rodri,3242.0,Receiving_Rec
Top,Pascal Groß,2736.0,Receiving_Rec
Top,Lewis Dunk,2681.0,Receiving_Rec
,,,
Bottom,,,Receiving_Rec
Bottom,Leon Chiwome,18.0,Receiving_Rec
Bottom,John Fleck,27.0,Receiving_Rec
Bottom,Neal Maupay,28.0,Receiving_Rec
,,,
Top,,,Receiving_PrgR
Top,Bukayo Saka,508.0,Receiving_PrgR
Top,Dejan Kulusevski,388.0,Receiving_PrgR
Top,Gabriel Martinelli,345.0,Receiving_PrgR
,,,
Bottom,,,Receiving_PrgR
Bottom,Alisson,0.0,Receiving_PrgR
Bottom,Alphonse Areola,0.0,Receiving_PrgR
Bottom,Daniel Bentley,0.0,Receiving_PrgR
,,,
Top,,,Starts
Top,Joachim Andersen,38.0,Starts
Top,Thomas Kaminski,38.0,Starts
Top,Max Kilman,38.0,Starts
,,,
Bottom,,,Starts
Bottom,Naouirou Ahamada,0.0,Starts
Bottom,Kieffer Moore,0.0,Starts
Bottom,David Ozoh,0.0,Starts
,,,
Top,,,Compl
Top,Max Kilman,38.0,Compl
Top,Bernd Leno,38.0,Compl
Top,André Onana,38.0,Compl
,,,
Bottom,,,Compl
Bottom,Naouirou Ahamada,0.0,Compl
Bottom,Jaidon Anthony,0.0,Compl
Bottom,Shandon Baptiste,0.0,Compl
,,,
Top,,,Subs
Top,Pierre Højbjerg,28.0,Subs
Top,Harvey Elliott,23.0,Subs
Top,Cauley Woodrow,22.0,Subs
,,,
Bottom,,,Subs
Bottom,Nayef Aguerd,0.0,Subs
Bottom,Alisson,0.0,Subs
Bottom,Joachim Andersen,0.0,Subs
,,,
Top,,,unSub
Top,Daniel Bentley,33.0,unSub
Top,Thomas Strakosha,32.0,unSub
Top,Aaron Ramsdale,31.0,unSub
,,,
Bottom,,,unSub
Bottom,Elijah Adebayo,0.0,unSub
Bottom,Anel Ahmedhodžić,0.0,unSub
Bottom,Trent Alexander-Arnold,0.0,unSub
,,,
Top,,,PPm
Top,Thomas Partey,2.71,PPm
Top,Kevin De Bruyne,2.67,PPm
Top,Aaron Ramsdale,2.67,PPm
,,,
Bottom,,,PPm
Bottom,John Fleck,0.0,PPm
Bottom,Alex Iwobi,0.0,PPm
Bottom,Neal Maupay,0.0,PPm
,,,
Top,,,onG
Top,William Saliba,91.0,onG
Top,Rodri,87.0,onG
Top,Declan Rice,84.0,onG
,,,
Bottom,,,onG
Bottom,Rhian Brewster,0.0,onG
Bottom,Tawanda Chirewa,0.0,onG
Bottom,Alex Iwobi,0.0,onG
,,,
Top,,,onGA
Top,Anel Ahmedhodžić,89.0,onGA
Top,Thomas Kaminski,85.0,onGA
Top,Gustavo Hamer,83.0,onGA
,,,
Bottom,,,onGA
Bottom,Hannibal Mejbri,1.0,onGA
Bottom,Reiss Nelson,1.0,onGA
Bottom,Ivan Perišić,1.0,onGA
,,,
Top,,,onxG
Top,Virgil van Dijk,82.1,onxG
Top,William Saliba,76.1,onxG
Top,Bruno Guimarães,74.0,onxG
,,,
Bottom,,,onxG
Bottom,Benson Manuel,0.5,onxG
Bottom,Jaidon Anthony,0.6,onxG
Bottom,Tawanda Chirewa,0.8,onxG
,,,
Top,,,onxGA
Top,Thomas Kaminski,77.6,onxGA
Top,André Onana,68.9,onxGA
Top,Max Kilman,67.7,onxGA
,,,
Bottom,,,onxGA
Bottom,Tyler Adams,1.5,onxGA
Bottom,Tawanda Chirewa,1.5,onxGA
Bottom,Neal Maupay,1.5,onxGA
,,,
Top,,,Performance_Fls
Top,Conor Gallagher,83.0,Performance_Fls
Top,João Gomes,66.0,Performance_Fls
Top,Luis Díaz,54.0,Performance_Fls
,,,
Bottom,,,Performance_Fls
Bottom,Tyler Adams,0.0,Performance_Fls
Bottom,Daniel Bentley,0.0,Performance_Fls
Bottom,Eric Dier,0.0,Performance_Fls
,,,
Top,,,Performance_Fld
Top,Bruno Guimarães,108.0,Performance_Fld
Top,Jordan Ayew,94.0,Performance_Fld
Top,Mohammed Kudus,75.0,Performance_Fld
,,,
Bottom,,,Performance_Fld
Bottom,Shandon Baptiste,0.0,Performance_Fld
Bottom,Daniel Bentley,0.0,Performance_Fld
Bottom,Hannes Delcroix,0.0,Performance_Fld
,,,
Top,,,Performance_Off
Top,Darwin Núñez,33.0,Performance_Off
Top,Nicolas Jackson,28.0,Performance_Off
Top,Dominic Calvert-Lewin,24.0,Performance_Off
,,,
Bottom,,,Performance_Off
Bottom,Tyler Adams,0.0,Performance_Off
Bottom,Tosin Adarabioyo,0.0,Performance_Off
Bottom,Nayef Aguerd,0.0,Performance_Off
,,,
Top,,,Performance_Crs
Top,Alfie Doughty,340.0,Performance_Crs
Top,Pascal Groß,238.0,Performance_Crs
Top,Dwight McNeil,229.0,Performance_Crs
,,,
Bottom,,,Performance_Crs
Bottom,Alisson,0.0,Performance_Crs
Bottom,Mads Juel Andersen,0.0,Performance_Crs
Bottom,Alphonse Areola,0.0,Performance_Crs
,,,
Top,,,Performance_OG
Top,Daiki Hashioka,2.0,Performance_OG
Top,Emiliano Martínez,2.0,Performance_OG
Top,Konstantinos Mavropanos,2.0,Performance_OG
,,,
Bottom,,,Performance_OG
Bottom,Max Aarons,0.0,Performance_OG
Bottom,Tyler Adams,0.0,Performance_OG
Bottom,Tosin Adarabioyo,0.0,Performance_OG
,,,
Top,,,Performance_Recov
Top,Bruno Guimarães,237.0,Performance_Recov
Top,Rodri,235.0,Performance_Recov
Top,Ryan Christie,231.0,Performance_Recov
,,,
Bottom,,,Performance_Recov
Bottom,Ionuț Radu,0.0,Performance_Recov
Bottom,Thomas Strakosha,1.0,Performance_Recov
Bottom,Mark Travers,1.0,Performance_Recov
,,,
Top,,,Aerial_Won
Top,Virgil van Dijk,140.0,Aerial_Won
Top,James Tarkowski,140.0,Aerial_Won
Top,Dominic Calvert-Lewin,137.0,Aerial_Won
,,,
Bottom,,,Aerial_Won
Bottom,Maxwel Cornet,0.0,Aerial_Won
Bottom,Mahmoud Dahoud,0.0,Aerial_Won
Bottom,Tommy Doyle,0.0,Aerial_Won
,,,
Top,,,Aerial_Lost
Top,Carlton Morris,169.0,Aerial_Lost
Top,Dominic Calvert-Lewin,144.0,Aerial_Lost
Top,Dominic Solanke,135.0,Aerial_Lost
,,,
Bottom,,,Aerial_Lost
Bottom,Daniel Bentley,0.0,Aerial_Lost
Bottom,Martin Dúbravka,0.0,Aerial_Lost
Bottom,Ederson,0.0,Aerial_Lost
,,,
