Type,name,Score,Metric
Top,Adama Traoré,1.19,Per_90_G+A-PK
Top,Enes Ünal,1.1,Per_90_G+A-PK
Top,Sasa Kalajdzic,1.08,Per_90_G+A-PK
,,,
Bottom,,,Per_90_G+A-PK
Bottom,Tyler Adams,0.0,Per_90_G+A-PK
Bottom,Naouirou Ahamada,0.0,Per_90_G+A-PK
Bottom,Alisson,0.0,Per_90_G+A-PK
,,,
Top,,,Per_90_xG
Top,Kieffer Moore,1.23,Per_90_xG
Top,Neal Maupay,1.16,Per_90_xG
Top,Erling Haaland,1.03,Per_90_xG
,,,
Bottom,,,Per_90_xG
Bottom,Max Aarons,0.0,Per_90_xG
Bottom,Tyler Adams,0.0,Per_90_xG
Bottom,Alisson,0.0,Per_90_xG
,,,
Top,,,Per_90_xAG
Top,Kevin De Bruyne,0.85,Per_90_xAG
Top,Ivan Perišić,0.75,Per_90_xAG
Top,Sasa Kalajdzic,0.52,Per_90_xAG
,,,
Bottom,,,Per_90_xAG
Bottom,Alisson,0.0,Per_90_xAG
Bottom,Mads Juel Andersen,0.0,Per_90_xAG
Bottom,Jaidon Anthony,0.0,Per_90_xAG
,,,
Top,,,Per_90_xG+xAG
Top,Kieffer Moore,1.44,Per_90_xG+xAG
Top,Neal Maupay,1.22,Per_90_xG+xAG
Top,Erling Haaland,1.18,Per_90_xG+xAG
,,,
Bottom,,,Per_90_xG+xAG
Bottom,Alisson,0.0,Per_90_xG+xAG
Bottom,Alphonse Areola,0.0,Per_90_xG+xAG
Bottom,Daniel Bentley,0.0,Per_90_xG+xAG
,,,
Top,,,Per_90_npxG
Top,Kieffer Moore,1.23,Per_90_npxG
Top,Neal Maupay,1.16,Per_90_npxG
Top,Erling Haaland,0.81,Per_90_npxG
,,,
Bottom,,,Per_90_npxG
Bottom,Max Aarons,0.0,Per_90_npxG
Bottom,Tyler Adams,0.0,Per_90_npxG
Bottom,Alisson,0.0,Per_90_npxG
,,,
Top,,,Per_90_npxG+xAG
Top,Kieffer Moore,1.44,Per_90_npxG+xAG
Top,Neal Maupay,1.22,Per_90_npxG+xAG
Top,Sasa Kalajdzic,1.09,Per_90_npxG+xAG
,,,
Bottom,,,Per_90_npxG+xAG
Bottom,Alisson,0.0,Per_90_npxG+xAG
Bottom,Alphonse Areola,0.0,Per_90_npxG+xAG
Bottom,Daniel Bentley,0.0,Per_90_npxG+xAG
,,,
Top,,,Gls
Top,Erling Haaland,27.0,Gls
Top,Cole Palmer,22.0,Gls
Top,Alexander Isak,21.0,Gls
,,,
Bottom,,,Gls
Bottom,Max Aarons,0.0,Gls
Bottom,Tyler Adams,0.0,Gls
Bottom,Naouirou Ahamada,0.0,Gls
,,,
Top,,,Sh
Top,Erling Haaland,113.0,Sh
Top,Darwin Núñez,107.0,Sh
Top,Mohamed Salah,107.0,Sh
,,,
Bottom,,,Sh
Bottom,Tyler Adams,0.0,Sh
Bottom,Alisson,0.0,Sh
Bottom,Alphonse Areola,0.0,Sh
,,,
Top,,,SoT
Top,Erling Haaland,50.0,SoT
Top,Phil Foden,48.0,SoT
Top,Mohamed Salah,47.0,SoT
,,,
Bottom,,,SoT
Bottom,Max Aarons,0.0,SoT
Bottom,Tyler Adams,0.0,SoT
Bottom,Alisson,0.0,SoT
,,,
Top,,,Sh/90
Top,Enes Ünal,6.31,Sh/90
Top,Julio Enciso,5.31,Sh/90
Top,Kieffer Moore,5.0,Sh/90
,,,
Bottom,,,Sh/90
Bottom,Tyler Adams,0.0,Sh/90
Bottom,Alisson,0.0,Sh/90
Bottom,Alphonse Areola,0.0,Sh/90
,,,
Top,,,SoT/90
Top,Neal Maupay,3.24,SoT/90
Top,Matt Ritchie,2.81,SoT/90
Top,Enes Ünal,2.2,SoT/90
,,,
Bottom,,,SoT/90
Bottom,Max Aarons,0.0,SoT/90
Bottom,Tyler Adams,0.0,SoT/90
Bottom,Alisson,0.0,SoT/90
,,,
Top,,,FK
Top,James Ward-Prowse,16.0,FK
Top,Julián Álvarez,13.0,FK
Top,Eberechi Eze,12.0,FK
,,,
Bottom,,,FK
Bottom,Max Aarons,0.0,FK
Bottom,Tyler Adams,0.0,FK
Bottom,Tosin Adarabioyo,0.0,FK
,,,
Top,,,PK
Top,Cole Palmer,9.0,PK
Top,Erling Haaland,7.0,PK
Top,Bukayo Saka,6.0,PK
,,,
